Author,Book,Image,Year,Description,Buy,Book_old,file_number
Farrah Rochon,Release me,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,"When Leah Cross's fianc decides he no longer wants to get married, the hardworking finance analyst is determined to attend the couple's retreat at Camp Firefly Falls anyway. But after being dumped, the humiliation of showing up alone is too much for Leah to bear. She needs a stand-in ASAP. At the top of her list: her hot next-door neighbor, Caleb Scott.
 
 For the past four months undercover detective Caleb Scott has been on self-imposed desk duty following an on-the-job incident that shattered his confidence. A weekend fishing trip with his buddies was supposed to be the perfect opportunity for Caleb to clear his mind and make some hard decisions about his future, but after they all bail on him, he's stuck trying to figure out what to do with his time off. That is, until the neighbor he's been secretly lusting after for a year invites him to join her at a summer camp for adults.
 
 Can this platonic weekend in the mountains blossom into something more? It will if Caleb has anything to say about it.",https://www.amazon.com/Right-Next-Door-Firefly-Falls-ebook/dp/B01K5H2NG6/ref=sr_1_3?dchild=1&keywords=Mr+Right+Next+Door+Farrah+Rochon&qid=1615778524&s=digital-text&sr=1-3,Release me,211
Farrah Rochon,Rescue Me,https://m.media-amazon.com/images/I/51OM0oqFHxL._SY346_.jpg,2011,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,Rescue me,212
Farrah Rochon,Stay with Me Forever,https://m.media-amazon.com/images/I/81VUE2L8mZL._AC_UY218_.jpg,2015,"In a few months, Alexander Holmes saw both of his younger brothers find love, but the hardworking owner of Holmes Construction has no desire to follow in their footsteps. Alex had his chance at wedded bliss, and all he ended up with was a whole lot of heartache... and a precious baby girl. Unfortunately, his sweet little pumpkin has turned into a little monster at school. Suddenly, Alex finds himself in a brand new role: parent volunteer.
 
 Renee Moore moved to New Orleans to help her aunt rebuild after her home was destroyed by Hurricane Katrina. When she accepts a job as the new Special Projects Coordinator at St. Katherine's School, Renee looks forward to molding all those young minds. What she doesn't expect is to fall for the sexy single father of one of her students. When Alex Holmes offers to help in rebuilding her aunt's home, Renee knows she's found a man worth his weight in gold. All she has to do is convince him to open his heart to love again.",https://www.amazon.com/Rescue-Me-Holmes-Brothers-Book-ebook/dp/B0065QVHUA/ref=sr_1_1?dchild=1&keywords=Rescue+me+Farrah+Rochon&qid=1615777644&s=digital-text&sr=1-1,Stay with me forever,213
Farrah Rochon,The Boyfriend Project,https://m.media-amazon.com/images/I/81eASZtWk6L._AC_UY218_.jpg,2020,"Successful career woman Paxton Jones has come a long way from her dirt-poor roots--and the girl with an unrequited crush on high school football star Sawyer Robertson. Gauthier's privileged golden boy was way out of her league... until one passion-filled night. But when a project close to her heart reunites them, Paxton has to rein in her still-smoldering feelings for the devastatingly handsome civil engineer.
 Three years ago, Sawyer shared the most incredible night of his life with the woman he'd long admired. Afterward, Paxton left town without even saying goodbye. Now, thrown together on a mission to protect their vulnerable Louisiana community, they clash on everything--except their reigniting desire for each other. As disaster threatens and Sawyer and Paxton put aside their differences for a greater cause, will they find a love that can heal all wounds?",https://www.amazon.com/Stay-Me-Forever-Bayou-Dreams/dp/1410482855/ref=sr_1_3?dchild=1&keywords=Stay+with+Me+Forever+Farrah+Rochon&qid=1615777262&s=books&sr=1-3,The boyfriend project,214
Farrah Rochon,Trust me,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,"A smart and delightful romantic comedy featuring fabulous female friendships and ""a great love story."" --Jasmine Guillory, bestselling author of Party of Two Samiah Brooks never thought she would be ""that"" girl. But a live tweet of a horrific date just revealed the painful truth: she's been catfished by a three-timing jerk of a boyfriend. Suddenly Samiah -- along with his two other ""girlfriends,"" London and Taylor -- have gone viral online. Now the three new besties are making a pact to spend the next six months investing in themselves. No men and no dating. For once Samiah is putting herself first, and that includes finally developing the app she's always dreamed of creating. Which is the exact moment she meets the deliciously sexy Daniel Collins at work. What are the chances? But is Daniel really boyfriend material or is he maybe just a little too good to be true?",,Trust me,215
Farrah Rochon,Yours forever,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,Yours forever,216
Jasmine Guillory,Party of two,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,Party of two ,186
Jasmine Guillory,Royal holiday,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,Royal holiday ,187
Jasmine Guillory,The proposal,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,The proposal,188
Jasmine Guillory,The wedding date,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,The wedding date,189
Katrina Jackson,Beautiful & Dirty,,,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,Beautiful & Dirty,345
Katrina Jackson,"New Year, New We",,,,,"New Year, New We",346
Katrina Jackson,Pink Slip,,,,,Pink Slip,344
Katrina Jackson,Private Eye,,,,,Private Eye,347
Kayla Perrin,Burning Desire,https://m.media-amazon.com/images/I/81iRccqWT6L._AC_UY218_.jpg,2014,,,Burning desire,117
Kayla Perrin,Flames of passion,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,"Their passion's rising...
 
 Ever since the tragedy that tore through his life, Mason Foley guards his heart, never letting any woman get too close. Yet the gorgeous, independent Sabrina Crawford is perfect for a sizzling fling, even if she does seem resistant to his charms. He'll just have to turn up the heat, igniting a longing the hard-to-get wedding photographer can't resist.
 
 Once burned is enough for Sabrina to swear off a man's touch forever. But it's impossible to ignore the hunky San Diego firefighter who's making her temperature soar. And when Mason puts his life on the line to save hers, Sabrina knows she's found her ultimate hero. If she gives in, though, is she headed down the road to heartbreak once again? Or will she find a love to keep her soul ablaze forever?",https://www.amazon.com/dp/B00HAZ5DVO/ref=dp-kindle-redirect?_encoding=UTF8&btkr=1,Flames of passion ,118
Kayla Perrin,Freefall to desire,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,Freefall to desire,119
Kayla Perrin,Heart toheart,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,Heart toheart,120
Kayla Perrin,If you want me,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,If you want me ,121
Kayla Perrin,Midnight dreams,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,Midnight dreams,122
Kayla Perrin,Obsession,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,Obsession ,123
Kayla Perrin,Passion ignited,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,Passion ignited,124
Kayla Perrin,Single mama drama,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,Single mama drama,125
